央视频道,#genre#
CCTV1HD(综合),http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
CCTV-1蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1综合,http://183.207.248.71:80/cntv/live1/CCTV-1/cctv-1
CCTV中国中央电视台-1 综合,http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV中国中央电视台-1 综合,http://125.210.152.10:8060/live/CCTV1HD_H265.m3u8
CCTV中国中央电视台-1 综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2,http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV-2,http://125.210.152.10:8060/live/CCTV2HD_H265.m3u8
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV-2,http://183.207.248.71:80/cntv/live1/CCTV-2/cctv-2
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-2,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV-3HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
CCTV3HD(综艺),http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV 3,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV-3蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光2,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3综艺,http://183.207.248.71:80/cntv/live1/CCTV-3/cctv-3
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV中国中央电视台-3 综艺,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV 4,https://cctvcnch5ca.v.wscdns.com/live/cctveurope_2/index.m3u8
CCTV4(国际),http://125.210.152.18:9090/live/CCTV4.m3u8
CCTV-4国际,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV-4蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-4美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-4中文国际,http://183.207.248.71:80/cntv/live1/CCTV-4/cctv-4
CCTV中国中央电视台-4 中文国际,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV5HD(体育),http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV-5蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5体育,http://183.207.248.71:80/cntv/live1/CCTV-5/cctv-5
央视节目_123,#genre#
CCTV5+HD（体育赛事),http://125.210.152.18:9090/live/TYSSHD_H265.m3u8
CCTV5+高清,http://39.134.65.89:80/wh7f454c46tw1784707858_1577868271/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8?icpid=88888888&RTS=1554599557&from=1&hms_devid=134
CCTV-5+蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+蓝光,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-5+HD,http://39.134.65.2:80/wh7f454c46tw1753176804_334703569/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?icpid=88888888&RTS=1554599525&from=1&hms_devid=11
CCTV-5+体育赛事,http://183.207.248.71:80/cntv/live1/CCTV5+/hdcctv05plus
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV中国中央电视台-5+ 体育赛事,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV6HD(电影),http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-6电影,http://183.207.248.71:80/cntv/live1/CCTV-6/cctv-6
CCTV-6蓝光1,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光2,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV中国中央电视台-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV中国中央电视台-6 电影,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV7HD(国防军事),http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV-7,http://39.134.65.66:80/wh7f454c46tw1869090469_1007444152/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8?icpid=88888888&RTS=1554599641&from=1&hms_devid=126
CCTV7高清,http://39.135.135.22:80/wh7f454c46tw1882204598_-1795601636/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1554599654&from=1&hms_devid=698
CCTV-7高清,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-7军事 农业,http://183.207.248.71:80/cntv/live1/CCTV-7/cctv-7
CCTV-7军事农业,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-7蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV中国中央电视台-7 国防军事,http://117.169.120.140:8080/live/cctv-7/.m3u8
CCTV8HD(电视剧),http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
